Reward,Length,Success,Collisions,Fires
10,19,1,0,0
-10,11,0,0,1
9,45,1,1,0
-10,12,0,0,1
-2,103,0,12,0
-12,7,0,2,1
-13,63,0,3,1
9,37,1,1,0
5,84,1,5,0
-10,3,0,0,1
1,73,1,9,0
-10,4,0,0,1
-26,200,0,26,0
-10,5,0,0,1
-11,7,0,1,1
-11,38,0,1,1
4,44,1,6,0
8,71,1,2,0
-11,64,0,1,1
10,33,1,0,0
8,19,1,2,0
-10,11,0,0,1
-10,3,0,0,1
-10,1,0,0,1
10,33,1,0,0
-11,42,0,1,1
4,48,1,6,0
7,52,1,3,0
-13,51,0,3,1
-10,14,0,0,1
-10,44,0,0,1
6,65,1,4,0
6,53,1,4,0
-12,50,0,2,1
-12,60,0,2,1
2,65,1,8,0
10,16,1,0,0
-10,31,0,0,1
10,6,1,0,0
10,15,1,0,0
-10,39,0,0,1
10,6,1,0,0
-10,19,0,0,1
-10,9,0,0,1
3,58,1,7,0
8,37,1,2,0
-10,7,0,0,1
2,109,1,8,0
-16,168,0,6,1
-10,4,0,0,1
-10,75,0,0,1
-12,34,0,2,1
-10,42,0,0,1
-15,135,0,5,1
-10,1,0,0,1
10,1,1,0,0
-12,23,0,2,1
10,9,1,0,0
-10,12,0,0,1
-10,5,0,0,1
-11,8,0,1,1
-10,17,0,0,1
-10,90,0,0,1
-10,22,0,0,1
-11,32,0,1,1
8,145,1,2,0
-10,8,0,0,1
9,15,1,1,0
4,76,1,6,0
5,35,1,5,0
6,57,1,4,0
-16,73,0,6,1
-10,10,0,0,1
10,3,1,0,0
-10,34,0,0,1
8,22,1,2,0
-10,23,0,0,1
8,55,1,2,0
10,15,1,0,0
7,97,1,3,0
-13,49,0,3,1
-10,7,0,0,1
10,26,1,0,0
-11,35,0,1,1
7,58,1,3,0
10,7,1,0,0
5,35,1,5,0
-10,8,0,0,1
-15,96,0,5,1
9,7,1,1,0
10,13,1,0,0
-10,10,0,0,1
-10,20,0,0,1
-10,12,0,0,1
10,6,1,0,0
-10,23,0,0,1
-10,17,0,0,1
10,30,1,0,0
-10,66,0,0,1
-10,45,0,0,1
-10,4,0,0,1
-10,12,0,0,1
-11,36,0,1,1
-11,14,0,1,1
10,9,1,0,0
-11,18,0,1,1
4,63,1,6,0
-13,55,0,3,1
7,45,1,3,0
-12,24,0,2,1
-13,60,0,3,1
-10,37,0,0,1
-11,15,0,1,1
10,35,1,0,0
10,22,1,0,0
-10,37,0,0,1
7,32,1,3,0
8,62,1,2,0
9,36,1,1,0
-10,9,0,0,1
-25,100,0,15,1
-10,1,0,0,1
-10,13,0,0,1
10,32,1,0,0
-10,40,0,0,1
-10,15,0,0,1
-10,31,0,0,1
-10,2,0,0,1
-10,1,0,0,1
-16,74,0,6,1
9,21,1,1,0
-10,40,0,0,1
-26,123,0,16,1
-13,12,0,3,1
-11,20,0,1,1
10,9,1,0,0
-11,23,0,1,1
-10,5,0,0,1
-19,95,0,9,1
-10,2,0,0,1
-10,17,0,0,1
-10,2,0,0,1
-10,1,0,0,1
10,9,1,0,0
10,71,1,0,0
10,14,1,0,0
-10,1,0,0,1
-10,5,0,0,1
5,55,1,5,0
-12,53,0,2,1
10,33,1,0,0
-17,65,0,7,1
-10,19,0,0,1
10,3,1,0,0
-11,18,0,1,1
-14,76,0,4,1
-2,125,0,12,0
10,51,1,0,0
10,2,1,0,0
5,36,1,5,0
9,37,1,1,0
10,3,1,0,0
9,9,1,1,0
-14,135,0,4,1
-10,3,0,0,1
-10,3,0,0,1
-12,34,0,2,1
-11,200,0,11,0
-10,13,0,0,1
-11,60,0,1,1
-12,33,0,2,1
-10,4,0,0,1
-12,41,0,2,1
-10,24,0,0,1
-10,75,0,0,1
-11,29,0,1,1
4,40,1,6,0
4,123,1,6,0
-15,50,0,5,1
-10,8,0,0,1
-10,32,0,0,1
9,23,1,1,0
10,6,1,0,0
10,29,1,0,0
10,18,1,0,0
10,3,1,0,0
