Episode,Reward,Length,Success,Collisions,Fires
1,7.299999999999999,28,1,0,0
2,5.999999999999998,41,1,0,0
3,3.100000000000006,43,1,3,0
4,2.4000000000000075,68,1,1,0
5,-11.2,13,0,0,1
6,-12.8,20,0,1,1
7,-12.699999999999973,100,0,3,0
8,7.099999999999999,30,1,0,0
9,-13.8,30,0,1,1
10,-13.000000000000002,31,0,0,1
11,-0.09999999999998543,84,0,2,0
12,-25.19999999999998,90,0,7,1
13,-15.099999999999998,25,0,3,1
14,-16.199999999999996,54,0,1,1
15,-14.6,47,0,0,1
16,3.4000000000000075,49,1,2,0
17,4.300000000000005,31,1,3,0
18,8.9,12,1,0,0
19,6.899999999999999,32,1,0,0
20,1.7763568394002505e-14,83,1,2,0
21,-13.599999999999977,100,0,4,0
22,1.3000000000000114,79,1,1,0
23,-17.4,30,0,5,1
24,-10.7,8,0,0,1
25,-16.4,29,0,4,1
26,-13.700000000000001,29,0,1,1
27,-19.79999999999999,63,0,4,1
28,-19.19999999999999,66,0,3,1
29,3.900000000000005,44,1,2,0
30,0.20000000000000995,54,1,5,0
31,-18.09999999999999,100,0,9,0
32,-16.199999999999996,27,0,4,1
33,1.2000000000000117,62,1,3,0
34,-13.599999999999973,100,0,4,0
35,-14.5,28,0,2,1
36,-12.100000000000001,22,0,0,1
37,5.500000000000001,37,1,1,0
38,-1.9999999999999805,94,0,3,0
39,-15.899999999999997,33,0,3,1
40,-16.099999999999998,53,0,1,1
41,3.800000000000006,63,1,0,0
42,-13.4,17,0,2,1
43,4.5000000000000036,47,1,1,0
44,4.200000000000001,50,1,1,0
45,-15.399999999999974,100,0,6,0
46,-0.79999999999999,55,0,6,0
47,-10.8,9,0,0,1
48,-15.999999999999995,52,0,1,1
49,-11.700000000000017,74,0,16,0
50,-18.099999999999987,73,0,1,1
51,4.299999999999998,40,1,2,0
52,4.4,30,1,3,0
53,-0.5999999999999925,62,0,5,0
54,2.2000000000000055,52,1,3,0
55,7.699999999999999,24,1,0,0
56,-20.799999999999983,91,0,2,1
57,-1.1999999999999886,68,0,5,0
58,-11.0,11,0,0,1
59,-17.29999999999999,74,0,0,1
60,-18.599999999999987,69,0,2,1
61,3.1000000000000085,61,1,1,0
62,-15.399999999999979,100,0,6,0
63,-17.299999999999994,56,0,2,1
64,1.8000000000000096,65,1,2,0
65,4.5000000000000036,56,1,0,0
66,-14.0,23,0,2,1
67,6.499999999999998,36,1,0,0
68,-13.0,13,0,2,1
69,-12.200000000000001,23,0,0,1
70,-12.4,25,0,0,1
71,-3.9999999999999805,96,0,5,0
72,-11.7,9,0,1,1
73,-13.000000000000002,31,0,0,1
74,6.099999999999999,31,1,1,0
75,-12.900000000000002,30,0,0,1
76,-14.999999999999998,42,0,1,1
77,1.8000000000000096,65,1,2,0
78,-12.5,17,0,1,1
79,4.2000000000000055,41,1,2,0
80,4.200000000000001,41,1,2,0
81,5.400000000000001,29,1,2,0
82,5.6000000000000005,27,1,2,0
83,-0.7999999999999847,91,0,2,0
84,-13.600000000000001,28,0,1,1
85,-19.899999999999984,73,0,3,1
86,-11.0,11,0,0,1
87,-11.5,16,0,0,1
88,0.9000000000000039,47,1,5,0
89,3.2000000000000064,33,1,4,0
90,-13.599999999999978,100,0,4,0
91,-14.4,45,0,0,1
92,-10.8,9,0,0,1
93,-15.699999999999996,31,0,3,1
94,-15.100000000000001,34,0,2,1
95,5.4,47,1,0,0
96,4.700000000000004,36,1,2,0
97,-5.299999999999979,82,0,8,0
98,1.2000000000000153,71,1,2,0
99,-16.599999999999994,31,0,4,1
100,-18.999999999999986,64,0,3,1
101,-4.899999999999981,96,0,6,0
102,-2.5999999999999837,64,0,7,0
103,1.8000000000000043,47,1,4,0
104,0.3000000000000149,71,1,3,0
105,-21.899999999999988,57,0,7,1
106,5.799999999999999,34,1,1,0
107,-11.4,15,0,0,1
108,1.5000000000000107,59,1,3,0
109,-2.09999999999998,86,0,4,0
110,-2.4999999999999787,90,0,4,0
111,-13.400000000000002,35,0,0,1
112,6.499999999999998,27,1,1,0
113,-23.49999999999998,82,0,6,1
114,-17.59999999999999,50,0,3,1
115,-15.399999999999972,100,0,6,0
116,-23.799999999999983,94,0,5,1
117,-18.39999999999999,40,0,5,1
118,0.9000000000000057,56,1,4,0
119,-14.3,26,0,2,1
120,-16.299999999999976,100,0,7,0
121,0.9000000000000057,56,1,4,0
122,4.8000000000000025,44,1,1,0
123,-17.199999999999996,64,0,1,1
124,5.200000000000001,40,1,1,0
125,-11.799999999999978,100,0,2,0
126,-12.8,29,0,0,1
127,-14.599999999999998,29,0,2,1
128,-15.699999999999994,40,0,2,1
129,5.300000000000001,48,1,0,0
130,5.6000000000000005,36,1,1,0
131,-20.99999999999999,57,0,6,1
132,-13.000000000000002,31,0,0,1
133,-12.600000000000001,18,0,1,1
134,-12.8,20,0,1,1
135,-14.000000000000002,41,0,0,1
136,-12.2,14,0,1,1
137,5.000000000000003,42,1,1,0
138,-13.600000000000001,19,0,2,1
139,-18.10000000000001,100,0,9,0
140,-19.999999999999993,47,0,6,1
141,-12.900000000000002,30,0,0,1
142,7.199999999999999,29,1,0,0
143,6.799999999999999,33,1,0,0
144,7.8999999999999995,13,1,1,0
145,-11.4,15,0,0,1
146,-19.999999999999993,65,0,4,1
147,-16.299999999999997,28,0,4,1
148,1.9000000000000092,73,1,1,0
149,-17.499999999999993,31,0,5,1
150,-10.6,7,0,0,1
151,2.800000000000006,37,1,4,0
152,3.1000000000000014,34,1,4,0
153,7.299999999999999,28,1,0,0
154,7.799999999999999,23,1,0,0
155,6.1999999999999975,39,1,0,0
156,1.8000000000000096,65,1,2,0
157,-13.400000000000002,35,0,0,1
158,-12.8,29,0,0,1
159,-13.100000000000001,23,0,1,1
160,4.400000000000004,57,1,0,0
161,6.999999999999999,22,1,1,0
162,-15.0,33,0,2,1
163,5.100000000000001,50,1,0,0
164,-11.4,15,0,0,1
165,-10.7,8,0,0,1
166,-1.8999999999999773,93,0,3,0
167,3.500000000000007,57,1,1,0
168,3.3000000000000043,41,1,3,0
169,-13.900000000000002,40,0,0,1
170,4.000000000000005,61,1,0,0
171,-1.1999999999999833,77,0,4,0
172,-25.599999999999987,85,0,8,1
173,3.500000000000001,39,1,3,0
174,-16.199999999999992,54,0,1,1
175,6.499999999999998,36,1,0,0
176,8.299999999999999,18,1,0,0
177,-12.600000000000001,27,0,0,1
178,3.6000000000000068,65,1,0,0
179,5.000000000000002,42,1,1,0
180,-12.699999999999974,100,0,3,0
181,-10.6,7,0,0,1
182,-12.7,19,0,1,1
183,4.399999999999999,39,1,2,0
184,0.9000000000000163,83,1,1,0
185,-18.79999999999999,53,0,4,1
186,1.70000000000001,66,1,2,0
187,5.100000000000001,41,1,1,0
188,5.799999999999999,34,1,1,0
189,-14.499999999999975,100,0,5,0
190,4.7,36,1,2,0
191,3.799999999999999,45,1,2,0
192,6.999999999999998,31,1,0,0
193,-14.700000000000001,39,0,1,1
194,4.2000000000000055,41,1,2,0
195,6.1999999999999975,39,1,0,0
196,-12.100000000000001,13,0,1,1
197,8.1,20,1,0,0
198,-17.599999999999994,32,0,5,1
199,1.2000000000000028,44,1,5,0
200,5.100000000000001,41,1,1,0
201,-13.0,22,0,1,1
202,1.6000000000000014,31,1,6,0
203,-13.599999999999973,100,0,4,0
204,-16.699999999999992,41,0,3,1
205,-13.000000000000002,31,0,0,1
206,5.5,46,1,0,0
207,7.199999999999999,29,1,0,0
208,-13.599999999999982,100,0,4,0
209,7.399999999999999,27,1,0,0
210,-11.6,8,0,1,1
211,-7.79999999999999,98,0,9,0
212,-13.600000000000001,37,0,0,1
213,5.400000000000002,29,1,2,0
214,-11.5,16,0,0,1
215,8.6,15,1,0,0
216,-18.699999999999992,70,0,2,1
217,-12.900000000000002,30,0,0,1
218,-16.59999999999999,40,0,3,1
219,5.000000000000002,51,1,0,0
220,7.199999999999999,29,1,0,0
221,3.1000000000000014,43,1,3,0
222,5.6,45,1,0,0
223,2.3000000000000016,42,1,4,0
224,-0.8999999999999861,65,0,5,0
225,-15.999999999999996,34,0,3,1
226,-1.3999999999999826,79,0,4,0
227,-16.399999999999995,47,0,2,1
228,-12.100000000000001,22,0,0,1
229,-14.100000000000001,33,0,1,1
230,-18.79999999999999,71,0,2,1
231,5.399999999999999,38,1,1,0
232,-16.099999999999994,44,0,2,1
233,3.600000000000005,38,1,3,0
234,6.299999999999998,38,1,0,0
235,4.700000000000004,27,1,3,0
236,-11.5,16,0,0,1
237,3.400000000000002,40,1,3,0
238,5.899999999999999,42,1,0,0
239,4.5000000000000036,56,1,0,0
240,3.9000000000000057,62,1,0,0
241,6.699999999999998,34,1,0,0
242,3.900000000000002,53,1,1,0
243,7.3,19,1,1,0
244,3.200000000000001,33,1,4,0
245,-12.0,21,0,0,1
246,4.9,43,1,1,0
247,4.400000000000004,48,1,1,0
248,-11.9,11,0,1,1
249,-14.5,37,0,1,1
250,-2.599999999999982,91,0,4,0
251,3.6000000000000068,65,1,0,0
252,1.9000000000000021,37,1,5,0
253,3.500000000000001,30,1,4,0
254,-20.69999999999999,54,0,6,1
255,3.9000000000000066,44,1,2,0
256,-13.900000000000002,31,0,1,1
257,-3.3999999999999826,72,0,7,0
258,-18.399999999999984,58,0,3,1
259,6.699999999999998,34,1,0,0
260,6.399999999999999,37,1,0,0
261,-4.199999999999983,98,0,5,0
262,3.4000000000000083,58,1,1,0
263,-13.700000000000003,29,0,1,1
264,2.3000000000000025,33,1,5,0
265,2.0000000000000098,54,1,3,0
266,-13.3,34,0,0,1
267,-12.5,26,0,0,1
268,-10.7,8,0,0,1
269,8.4,17,1,0,0
270,7.3999999999999995,18,1,1,0
271,-11.5,16,0,0,1
272,4.5000000000000036,56,1,0,0
273,-12.5,8,0,2,1
274,-11.8,19,0,0,1
275,2.600000000000003,48,1,3,0
276,2.70000000000001,74,1,0,0
277,6.699999999999998,34,1,0,0
278,-19.39999999999999,59,0,4,1
279,-15.999999999999995,43,0,2,1
280,-0.19999999999999396,58,0,5,0
281,4.700000000000004,36,1,2,0
282,0.40000000000001457,70,1,3,0
283,4.700000000000003,27,1,3,0
284,8.9,12,1,0,0
285,0.1000000000000032,37,1,7,0
286,-1.5999999999999854,81,0,4,0
287,-10.7,8,0,0,1
288,-10.8,9,0,0,1
289,4.899999999999999,34,1,2,0
290,-11.700000000000001,18,0,0,1
291,-17.199999999999996,100,0,8,0
292,-15.999999999999996,43,0,2,1
293,-13.200000000000001,33,0,0,1
294,-2.5999999999999837,64,0,7,0
295,8.8,13,1,0,0
296,5.200000000000001,49,1,0,0
297,8.5,16,1,0,0
298,0.5000000000000089,60,1,4,0
299,6.499999999999998,36,1,0,0
300,-20.099999999999987,57,0,5,1
301,7.1,21,1,1,0
302,2.300000000000008,69,1,1,0
303,-2.699999999999987,83,0,5,0
304,-12.600000000000001,27,0,0,1
305,3.000000000000006,53,1,2,0
306,0.20000000000000462,63,1,4,0
307,-9.99999999999998,100,0,0,0
308,-14.5,37,0,1,1
309,8.299999999999999,18,1,0,0
310,0.6000000000000139,77,1,2,0
311,5.999999999999999,23,1,2,0
312,6.7,16,1,2,0
313,-17.0,26,0,5,1
314,-0.4999999999999858,88,0,2,0
315,-12.200000000000001,23,0,0,1
316,7.499999999999999,26,1,0,0
317,8.0,21,1,0,0
318,-14.100000000000001,33,0,1,1
319,-17.49999999999999,76,0,0,1
320,4.100000000000003,51,1,1,0
321,2.800000000000006,64,1,1,0
322,-2.2999999999999723,88,0,4,0
323,5.8,25,1,2,0
324,3.900000000000002,35,1,3,0
325,5.100000000000001,50,1,0,0
326,8.0,21,1,0,0
327,-12.69999999999998,100,0,3,0
328,-10.8,9,0,0,1
329,-12.200000000000001,23,0,0,1
330,3.300000000000008,68,1,0,0
331,6.799999999999999,33,1,0,0
332,6.799999999999999,33,1,0,0
333,-11.5,16,0,0,1
334,6.499999999999998,36,1,0,0
335,5.799999999999999,43,1,0,0
336,-12.200000000000001,14,0,1,1
337,6.599999999999999,26,1,1,0
338,-1.9999999999999805,94,0,3,0
339,5.000000000000003,42,1,1,0
340,2.9000000000000092,72,1,0,0
341,5.699999999999999,35,1,1,0
342,-1.0999999999999837,76,0,4,0
343,1.0000000000000089,73,1,2,0
344,3.800000000000006,63,1,0,0
345,-2.499999999999975,99,0,3,0
346,5.799999999999999,43,1,0,0
347,6.899999999999999,23,1,1,0
348,-12.200000000000001,23,0,0,1
349,6.6,26,1,1,0
350,5.6000000000000005,36,1,1,0
351,7.1,21,1,1,0
352,2.800000000000006,55,1,2,0
353,4.700000000000003,54,1,0,0
354,7.099999999999999,30,1,0,0
355,6.699999999999998,34,1,0,0
356,-15.999999999999993,43,0,2,1
357,-17.599999999999994,59,0,2,1
358,6.299999999999998,38,1,0,0
359,-19.39999999999999,50,0,5,1
360,3.000000000000006,44,1,3,0
361,7.199999999999999,29,1,0,0
362,8.6,15,1,0,0
363,8.5,16,1,0,0
364,4.200000000000005,59,1,0,0
365,6.599999999999998,26,1,1,0
366,-12.699999999999974,100,0,3,0
367,-12.200000000000001,23,0,0,1
368,-12.600000000000001,27,0,0,1
369,-15.399999999999997,46,0,1,1
370,8.299999999999999,18,1,0,0
371,2.3000000000000043,51,1,3,0
372,-12.900000000000002,30,0,0,1
373,0.20000000000001883,99,1,0,0
374,8.6,15,1,0,0
375,-11.1,12,0,0,1
376,5.100000000000001,50,1,0,0
377,-13.0,13,0,2,1
378,-12.4,16,0,1,1
379,6.499999999999998,36,1,0,0
380,-18.100000000000012,100,0,9,0
381,5.999999999999999,23,1,2,0
382,-4.999999999999982,70,0,9,0
383,0.6000000000000103,59,1,4,0
384,-12.200000000000001,23,0,0,1
385,3.200000000000009,51,1,2,0
386,-17.99999999999999,54,0,3,1
387,7.799999999999999,23,1,0,0
388,2.100000000000013,62,1,2,0
389,-13.400000000000002,35,0,0,1
390,-15.199999999999998,53,0,0,1
391,1.1000000000000103,63,1,3,0
392,7.8999999999999995,22,1,0,0
393,-12.8,20,0,1,1
394,-12.8,29,0,0,1
395,-13.0,22,0,1,1
396,0.7000000000000064,67,1,3,0
397,-16.899999999999995,61,0,1,1
398,6.399999999999999,37,1,0,0
399,5.899999999999999,42,1,0,0
400,6.699999999999999,25,1,1,0
401,7.099999999999999,30,1,0,0
402,4.999999999999999,42,1,1,0
403,-3.09999999999998,87,0,5,0
404,6.499999999999998,27,1,1,0
405,-13.8,30,0,1,1
406,-19.39999999999999,68,0,3,1
407,8.0,12,1,1,0
408,1.800000000000006,47,1,4,0
409,6.1,22,1,2,0
410,-12.700000000000001,28,0,0,1
411,-19.299999999999997,40,0,6,1
412,8.5,16,1,0,0
413,4.5000000000000036,56,1,0,0
414,-15.899999999999995,51,0,1,1
415,5.7,26,1,2,0
416,-12.700000000000001,28,0,0,1
417,-13.900000000000002,31,0,1,1
418,8.1,11,1,1,0
419,6.399999999999999,28,1,1,0
420,4.6,28,1,3,0
421,6.699999999999999,25,1,1,0
422,4.700000000000004,36,1,2,0
423,-0.8999999999999879,65,0,5,0
424,-19.999999999999986,65,0,4,1
425,3.7000000000000064,55,1,1,0
426,4.5,47,1,1,0
427,-21.299999999999983,87,0,3,1
428,-0.8999999999999897,56,0,6,0
429,-12.8,20,0,1,1
430,-13.800000000000002,39,0,0,1
431,-12.8,20,0,1,1
432,-21.999999999999986,67,0,6,1
433,5.8,34,1,1,0
434,-12.700000000000001,28,0,0,1
435,-18.099999999999998,55,0,3,1
436,-24.499999999999982,83,0,7,1
