Reward,Success
-16.699999999999992,0
-13.400000000000002,0
-10.6,0
-12.200000000000001,0
-12.0,0
-11.2,0
-10.9,0
-14.0,0
-2.8999999999999773,0
-15.599999999999994,0
-14.4,0
-14.5,0
-15.5,0
7.099999999999999,1
-16.199999999999996,0
-15.199999999999998,0
-12.9,0
-0.4999999999999858,0
-14.6,0
-19.099999999999994,0
-13.200000000000001,0
-12.3,0
5.699999999999999,1
-10.9,0
-24.39999999999999,0
6.899999999999999,1
-12.200000000000001,0
-13.3,0
7.199999999999999,1
-17.199999999999996,0
-16.799999999999997,0
-11.8,0
-12.600000000000001,0
-26.299999999999986,0
-13.600000000000001,0
-19.699999999999992,0
-24.199999999999996,0
-11.0,0
-15.0,0
-21.39999999999999,0
-12.8,0
-19.699999999999992,0
-18.39999999999999,0
-11.4,0
-11.1,0
6.799999999999999,1
-10.5,0
-13.700000000000001,0
-15.999999999999993,0
-13.4,0
-13.600000000000001,0
-14.899999999999999,0
-13.700000000000001,0
-12.4,0
-13.800000000000002,0
-15.099999999999998,0
-14.200000000000001,0
-11.3,0
-20.199999999999996,0
-15.099999999999998,0
-13.600000000000001,0
-15.799999999999995,0
4.699999999999999,1
-13.3,0
6.099999999999998,1
-16.299999999999997,0
-10.4,0
-12.600000000000001,0
-16.099999999999998,0
-24.099999999999987,0
-14.000000000000002,0
-12.900000000000002,0
-10.9,0
-11.4,0
-14.7,0
-13.600000000000001,0
-13.200000000000001,0
-12.200000000000001,0
-12.0,0
3.4000000000000075,1
-13.599999999999982,0
-11.4,0
3.900000000000002,1
-11.2,0
-11.5,0
-10.5,0
-11.2,0
-15.399999999999997,0
-9.99999999999998,0
-12.600000000000001,0
-12.5,0
-11.4,0
-16.699999999999996,0
-16.699999999999996,0
-16.499999999999996,0
-11.3,0
-10.8,0
-13.600000000000001,0
1.9000000000000075,1
-12.1,0
-21.59999999999999,0
-11.5,0
-11.3,0
-22.09999999999999,0
-16.099999999999994,0
-12.3,0
-12.600000000000001,0
