Reward,Success
-20.29999999999999,0
-13.400000000000002,0
-10.6,0
-12.200000000000001,0
-13.8,0
-11.2,0
-11.8,0
-12.200000000000001,0
-2.899999999999988,0
-14.7,0
-17.999999999999996,0
-14.5,0
-13.700000000000003,0
7.099999999999999,1
-12.600000000000001,0
-21.49999999999999,0
-12.0,0
-0.4999999999999858,0
-14.6,0
-16.399999999999995,0
-20.4,0
-16.799999999999997,0
4.800000000000001,1
-10.9,0
-22.599999999999987,0
5.100000000000003,1
-12.200000000000001,0
-14.200000000000001,0
6.299999999999999,1
-19.899999999999984,0
-16.799999999999994,0
-11.8,0
-11.700000000000001,0
-21.799999999999986,0
-13.600000000000001,0
-17.89999999999999,0
-17.89999999999999,0
-13.7,0
-13.200000000000001,0
-19.599999999999987,0
-12.8,0
-17.899999999999984,0
-23.79999999999999,0
-11.4,0
-11.1,0
3.200000000000003,1
-10.5,0
-16.399999999999995,0
-15.099999999999998,0
-11.6,0
-15.399999999999999,0
-18.499999999999993,0
-12.8,0
-16.899999999999995,0
-15.599999999999996,0
-14.200000000000001,0
-15.999999999999993,0
-11.3,0
-19.29999999999999,0
-15.999999999999996,0
-13.600000000000001,0
-17.599999999999994,0
4.700000000000003,1
-12.4,0
6.099999999999998,1
-19.89999999999999,0
-10.4,0
-12.600000000000001,0
-15.199999999999996,0
-17.79999999999999,0
-18.499999999999993,0
-13.8,0
-10.9,0
-11.4,0
-14.7,0
-18.099999999999994,0
-13.200000000000001,0
-14.0,0
-12.0,0
2.500000000000008,1
-17.200000000000003,0
-11.4,0
3.000000000000008,1
-11.2,0
-11.5,0
-11.4,0
-11.2,0
-17.199999999999996,0
-14.499999999999975,0
-12.600000000000001,0
-13.400000000000002,0
-11.4,0
-18.499999999999993,0
-16.699999999999996,0
-17.39999999999999,0
-12.200000000000001,0
-10.8,0
-15.399999999999995,0
-0.7999999999999954,0
-11.2,0
-27.9,0
-11.5,0
-11.3,0
-15.799999999999995,0
-14.3,0
-11.4,0
-12.600000000000001,0
-12.600000000000001,0
-15.199999999999996,0
-15.699999999999998,0
-11.1,0
-18.999999999999993,0
-17.69999999999999,0
-13.400000000000002,0
-20.099999999999987,0
-11.1,0
-16.299999999999994,0
-13.3,0
6.699999999999998,1
5.500000000000001,1
8.6,1
-10.7,0
-11.0,0
-14.7,0
-14.499999999999977,0
-14.0,0
-12.200000000000001,0
-10.8,0
-13.600000000000001,0
-21.099999999999994,0
-11.0,0
-15.0,0
-11.0,0
-13.3,0
-11.1,0
-11.9,0
-17.79999999999999,0
-16.099999999999994,0
-15.199999999999996,0
-11.2,0
-0.7999999999999865,0
-11.0,0
-10.9,0
-15.399999999999997,0
-11.9,0
-13.800000000000002,0
-11.5,0
-13.3,0
-11.700000000000001,0
-11.2,0
-14.4,0
-11.3,0
-17.89999999999999,0
-11.4,0
-18.699999999999985,0
-23.69999999999999,0
-15.099999999999998,0
-26.299999999999983,0
-24.299999999999976,0
-13.900000000000002,0
-15.799999999999997,0
-12.3,0
-14.0,0
-11.6,0
-14.200000000000001,0
-13.599999999999975,0
-10.9,0
-12.8,0
-25.799999999999983,0
-17.099999999999994,0
-12.100000000000001,0
-15.7,0
-16.099999999999994,0
-14.399999999999999,0
1.7000000000000135,1
-17.299999999999997,0
-17.299999999999994,0
-16.4,0
1.8000000000000025,1
-16.099999999999994,0
-12.600000000000001,0
-13.800000000000002,0
-11.3,0
-13.0,0
-12.700000000000001,0
-15.599999999999998,0
-11.8,0
-18.39999999999999,0
-21.499999999999993,0
-12.600000000000001,0
-18.599999999999987,0
-12.699999999999978,0
-12.5,0
-12.700000000000001,0
-19.499999999999993,0
9.3,1
-14.599999999999998,0
-11.4,0
-13.600000000000001,0
-12.100000000000001,0
-14.100000000000001,0
-16.699999999999996,0
-18.69999999999999,0
8.1,1
4.7,1
-15.399999999999997,0
4.5000000000000036,1
-16.699999999999996,0
-10.6,0
-21.099999999999977,0
-13.6,0
-13.400000000000002,0
1.1000000000000085,1
-24.999999999999993,0
-13.500000000000002,0
-11.8,0
-11.3,0
-18.499999999999986,0
-12.8,0
-13.100000000000001,0
-15.999999999999996,0
-12.200000000000001,0
-13.5,0
-16.499999999999993,0
-10.6,0
-17.399999999999988,0
-12.4,0
-15.299999999999997,0
-12.7,0
-11.4,0
5.199999999999999,1
-13.400000000000002,0
6.599999999999999,1
-13.400000000000002,0
-13.400000000000002,0
-13.9,0
4.900000000000003,1
-14.200000000000001,0
2.9000000000000075,1
